,p_id,score,num_comments,p_timestamp,direct_reply_comments,direct_comments_proportion,median_direct_reply_time,min_reply_time,P_Sent_Neg,P_Sent_Neu,P_Sent_Pos,P_Sent_Com,median_comment_length,C_Sent_Neg,C_Sent_Neu,C_Sent_Pos,C_Sent_Com,Diff_Sent_Neg,Diff_Sent_Neu,Diff_Sent_Pos,Diff_Sent_Com,C_Neg_Feelings,C_Suicide_Act,C_Goal,C_Medical,C_FPS,P_Neg_Feelings,P_Suicide_Act,P_Goal,P_Medical,P_FPS
25,dzq2wa,5,1,2019-11-21 23:14:01,1.0,1.0,13.666666666666666,13.666666666666666,0.351,0.649,0.0,-0.514,15.0,0.0,0.182,0.818,0.91,-0.351,-0.467,0.818,1.424,0.375,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,dzq2pi,3,3,2019-11-21 23:13:39,3.0,1.0,58.416666666666664,25.033333333333335,0.0,0.326,0.674,0.7351,26.0,0.0,0.767,0.233,0.5423,0.0,0.441,-0.44100000000000006,-0.19279999999999997,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.2,0.0,0.0
27,dzpvo1,4,1,2019-11-21 23:00:56,1.0,1.0,79.3,79.3,0.132,0.629,0.239,0.936,37.0,0.268,0.625,0.107,-0.6597,0.136,-0.0040000000000000036,-0.132,-1.5957,0.1,0.0,0.0,0.0,0.0,0.1901840490797546,0.17177914110429449,0.1656441717791411,0.17791411042944785,0.18404907975460122
28,dzr3a0,3,1,2019-11-22 00:20:56,1.0,1.0,20.533333333333335,20.533333333333335,0.346,0.59,0.064,-0.91,25.0,0.0,0.867,0.133,0.3818,-0.346,0.277,0.069,1.2918,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806
29,dzplna,4,3,2019-11-21 22:42:52,2.0,0.6666666666666666,75.93333333333334,53.31666666666667,0.17400000000000002,0.826,0.0,-0.4098,10.0,0.0,0.385,0.438,0.7506,-0.17400000000000002,-0.44099999999999995,0.438,1.1604,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
30,dzqbka,3,1,2019-11-21 23:29:51,1.0,1.0,7.083333333333333,7.083333333333333,0.322,0.511,0.167,-0.9918,58.0,0.0,0.794,0.206,0.7383,-0.322,0.28300000000000003,0.03899999999999998,1.7301,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.16205533596837945,0.1541501976284585,0.16205533596837945,0.1383399209486166,0.1857707509881423
31,dzq5wp,3,1,2019-11-21 23:19:51,1.0,1.0,13.333333333333334,13.333333333333334,0.228,0.573,0.199,-0.7126,250.0,0.278,0.509,0.213,-0.9307,0.05000000000000002,-0.06399999999999995,0.013999999999999985,-0.21809999999999996,0.10317460317460317,0.0,0.0873015873015873,0.007936507936507936,0.03968253968253968,0.16541353383458646,0.11278195488721804,0.13533834586466165,0.09774436090225563,0.15037593984962405
32,dzg0pe,35,19,2019-11-21 09:55:35,6.0,0.3157894736842105,564.025,4.15,0.5990000000000001,0.2919999999999999,0.109,-0.9686000000000001,9.5,0.23049999999999998,0.46950000000000003,0.088,-0.0644,-0.3685000000000001,0.1775000000000001,-0.021000000000000005,0.9042000000000001,0.14583333333333331,0.0,0.17424242424242425,0.020833333333333332,0.11538461538461539,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.17391304347826086
33,dzrqbp,2,0,2019-11-22 01:04:38,,0.0,,,0.269,0.578,0.153,-0.296,1.0,0.0,1.0,0.0,0.0,-0.269,0.42200000000000004,-0.153,0.296,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
34,dzror2,2,0,2019-11-22 01:02:07,,0.0,,,0.319,0.423,0.258,-0.8885,1.0,0.0,1.0,0.0,0.0,-0.319,0.577,-0.258,0.8885,0.0,0.0,0.0,0.0,0.0,0.1780821917808219,0.1232876712328767,0.1095890410958904,0.0958904109589041,0.1095890410958904
